time,latitude,longitude,mean_analysed_sst
2016-01-01,-59.98,116.02,1.81
2016-01-01,-59.98,117.02,2.34
2016-01-01,-59.98,118.02,2.18
2016-01-01,-59.98,119.02,1.63
2016-01-01,-59.98,120.02,1.38
2016-01-01,-59.98,121.02,1.5
2016-01-01,-59.98,122.02,1.73
2016-01-01,-59.98,123.02,1.63
2016-01-01,-59.98,124.02,1.7
2016-01-01,-59.98,125.02,1.86
2016-01-01,-59.98,126.02,2.15
2016-01-01,-59.98,127.02,2.19
2016-01-01,-59.98,128.02,2.31
2016-01-01,-59.98,129.02,2.36
2016-01-01,-59.98,130.02,2.42
2016-01-01,-59.98,131.02,2.5
2016-01-01,-59.98,132.02,2.64
2016-01-01,-59.98,133.02,2.75
2016-01-01,-59.98,134.02,2.54
2016-01-01,-59.98,135.02,2.51
2016-01-01,-59.98,136.02,2.29
2016-01-01,-59.98,137.02,2.1
2016-01-01,-59.98,138.02,2.06
2016-01-01,-59.98,139.02,1.97
2016-01-01,-59.98,140.02,2.01
2016-01-01,-59.98,141.02,2.28
2016-01-01,-59.98,142.02,2.18
2016-01-01,-59.98,143.02,2.13
2016-01-01,-59.98,144.02,2.29
2016-01-01,-59.98,145.02,2.25
2016-01-01,-59.98,146.02,2.24
2016-01-01,-59.98,147.02,2.06
2016-01-01,-59.98,148.02,1.71
2016-01-01,-59.98,149.02,1.28
2016-01-01,-59.98,150.02,0.91
2016-01-01,-59.98,151.02,0.78
2016-01-01,-59.98,152.02,0.85
2016-01-01,-59.98,153.02,0.88
2016-01-01,-59.98,154.02,1.06
2016-01-01,-59.98,155.02,1.55
2016-01-01,-59.98,156.02,1.37
2016-01-01,-59.98,157.02,1.61
2016-01-01,-59.98,158.02,1.84
2016-01-01,-59.98,159.02,2.3
2016-01-01,-59.98,160.02,1.96
2016-01-01,-59.98,161.02,1.67
2016-01-01,-59.98,162.02,2.89
2016-01-01,-59.98,163.02,3.82
2016-01-01,-59.98,164.02,3.62
2016-01-01,-59.98,165.02,3.47
2016-01-01,-59.98,166.02,3.52
2016-01-01,-59.98,167.02,3.5
2016-01-01,-59.98,168.02,3.58
