whaleSharkID,Total Occurrences,organismID,identificationID,Oldest Occurrence,Newest Occurrence,HUMAN_OBSERVATION,MACHINE_OBSERVATION,sex,lifeStage (year),continent (year),publishingCountry (year),country (year),stateProvince - verbatimLocality (month year),occurrenceRemarks (eventDate),lat:decimalLatitude long:decimalLongitude (eventDate),"imageURL (license, creator)"
92991166,1,,92991166,2019-08-24,2019-08-24,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Unknown,lat:21.574038 long:-86.642722 (Gulf of Mexico 2019-08-24),"https://inaturalist-open-data.s3.amazonaws.com/photos/65209596/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: rizard)"
94731976,1,,94731976,2019-08-06,2019-08-06,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Cuba (2019),Unknown,Unknown,lat:23.206258 long:-85.627548 (Gulf of Mexico 2019-08-06),"https://inaturalist-open-data.s3.amazonaws.com/photos/66651953/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: claudiavet)"
96899358,1,,96899358,2019-08-21,2019-08-21,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.312493 long:-86.685247 (Caribbean Sea 2019-08-21),"https://inaturalist-open-data.s3.amazonaws.com/photos/68030208/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: naturalist_tam)"
122775667,1,,122775667,2019-08-14,2019-08-14,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),"Yucatán - Yucatan, Mexico (Aug 2019)",Unknown,lat:20.709879 long:-89.094338 (Unknown 2019-08-14),"https://inaturalist-open-data.s3.amazonaws.com/photos/89124414/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: neurocentric)"
158613916,1,,158613916,2019-08-26,2019-08-26,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Unknown,Unknown,lat:21.245543 long:-86.797686 (Caribbean Sea 2019-08-26),"https://inaturalist-open-data.s3.amazonaws.com/photos/115319267/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: ac200300843)"
237102444,1,,237102444,2019-08-06,2019-08-06,1,0,Unknown,Unknown (2019),Asia (2019),United States (2019),Maldives (2019),Unknown,Unknown,lat:3.631946 long:72.969484 (Unknown 2019-08-06),"https://inaturalist-open-data.s3.amazonaws.com/photos/179417009/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: kubatovic.luci), https://inaturalist-open-data.s3.amazonaws.com/photos/179417159/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: kubatovic.luci)"
447298391,1,,447298391,2019-08-25,2019-08-25,1,0,Unknown,Unknown (2019),North America (2019),Mexico (2019),Mexico (2019),Quintana Roo - Mexico (Aug 2019),Unknown,lat:21.658176 long:-87.214315 (Gulf of Mexico 2019-08-25),"https://inaturalist-open-data.s3.amazonaws.com/photos/348769384/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: José Alberto de la Luz G.)"
530784837,1,,530784837,2019-08-24,2019-08-24,1,0,Female,Unknown (2019),South America (2019),New Zealand (2019),Ecuador (2019),Unknown,Unknown,lat:1.746852 long:-91.807174 (Unknown 2019-08-24),"https://inaturalist-open-data.s3.amazonaws.com/photos/422138136/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Malcolm Francis), https://inaturalist-open-data.s3.amazonaws.com/photos/422138158/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Malcolm Francis), https://inaturalist-open-data.s3.amazonaws.com/photos/422138117/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Malcolm Francis), https://inaturalist-open-data.s3.amazonaws.com/photos/422138152/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Malcolm Francis), https://inaturalist-open-data.s3.amazonaws.com/photos/422138137/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Malcolm Francis), https://inaturalist-open-data.s3.amazonaws.com/photos/422138132/original.jpg (license: CC BY-NC [Attribution-NonCommercial], creator: Malcolm Francis)"
69527675,1,,69527675,2019-09-03,2019-09-03,1,0,Female,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.402666 long:-86.485957 (Caribbean Sea 2019-09-03),"https://inaturalist-open-data.s3.amazonaws.com/photos/50282957/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Valentin de Mazancourt)"
71512790,1,,71512790,2019-09-14,2019-09-14,1,0,Unknown,Unknown (2019),North America (2019),United States (2019),Mexico (2019),Unknown,Unknown,lat:21.360636 long:-86.447772 (Caribbean Sea 2019-09-14),"https://inaturalist-open-data.s3.amazonaws.com/photos/51828263/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Richard Olin Wasson), https://inaturalist-open-data.s3.amazonaws.com/photos/51828137/original.jpeg (license: CC BY-NC [Attribution-NonCommercial], creator: Richard Olin Wasson)"
